0-Q-R2-3	|	Q	|	R2-3	|	55.39966	|	8.50	|	1.50561	|	82.34326	|	1.50561	|	1.50561	|	0
0-Q-R3-1	|	Q	|	R3-1	|	67.50350	|	15.00	|	2.82641	|	92.33010	|	2.826407	|	2.826407	|	0
0-Q-R3-2	|	Q	|	R3-2	|	75.18569	|	20.00	|	2.82641	|	100.01229	|	2.826407	|	2.826407	|	0
0-Q-R3-3	|	Q	|	R3-3	|	96.90106	|	30.00	|	2.96756	|	115.37667	|	2.967555	|	2.967555	|	0
0-Q-R3-4	|	Q	|	R3-4	|	142.99419	|	60.00	|	4.19431	|	161.46980	|	4.194307	|	4.194307	|	0
0-S-R1	|	S	|	R1	|	43.19320	|	4.00	|	0.55072	|	75.42929	|	0.550718	|	0.550718	|	0
0-S-R2-1	|	S	|	R2-1	|	44.72963	|	5.00	|	0.55072	|	76.96573	|	0.550718	|	0.550718	|	0
0-S-R2-2	|	S	|	R2-2	|	50.20979	|	6.50	|	0.62037	|	79.27038	|	0.620367	|	0.620367	|	0
0-S-R2-3	|	S	|	R2-3	|	55.39966	|	8.50	|	0.64156	|	82.34326	|	0.641561	|	0.641561	|	0
0-S-R3-1	|	S	|	R3-1	|	67.50350	|	15.00	|	0.72885	|	92.33010	|	0.728853	|	0.728853	|	0
0-S-R3-2	|	S	|	R3-2	|	75.18569	|	20.00	|	0.72885	|	100.01229	|	0.728853	|	0.728853	|	0
0-S-R3-3	|	S	|	R3-3	|	96.90106	|	30.00	|	0.87000	|	115.37667	|	0.870001	|	0.870001	|	0
0-S-R3-4	|	S	|	R3-4	|	142.99419	|	60.00	|	0.87000	|	161.46980	|	0.870001	|	0.870001	|	0
0-S-P1	|	S	|	P1	|	89.11690	|	25.00	|	0.44044	|	111.75035	|	0.41887	|	0.39460	|	0
0-S-P2	|	S	|	P2	|	89.11690	|	60.00	|	0.44044	|	111.75035	|	0.41887	|	0.39460	|	0
0-S-P3-1	|	S	|	P3-1	|	277.93335	|	150.00	|	0.50093	|	298.43076	|	0.46878	|	0.43262	|	0
0-S-P3-2	|	S	|	P3-2	|	277.93335	|	150.00	|	0.50093	|	298.43076	|	0.46878	|	0.43262	|	0
11-A-R1	|	A	|	R1	|	7.51404	|	4.00000	|	0.45535	|	11.71019	|	0.455346	|	0.455346	|	11
11-A-R2-1	|	A	|	R2-1	|	7.51404	|	5.00000	|	0.45535	|	11.71019	|	0.455346	|	0.455346	|	11
11-A-R2-2	|	A	|	R2-2	|	7.51404	|	6.50000	|	0.45535	|	11.71019	|	0.455346	|	0.455346	|	11
11-A-R2-3	|	A	|	R2-3	|	7.51404	|	8.50000	|	0.47264	|	11.71019	|	0.472644	|	0.472644	|	11
11-A-R3-1	|	A	|	R3-1	|	7.51404	|	15.00000	|	0.51364	|	11.71019	|	0.513635	|	0.513635	|	11
11-A-R3-2	|	A	|	R3-2	|	7.51404	|	20.00000	|	0.51364	|	11.71019	|	0.513635	|	0.513635	|	11
11-A-R3-3	|	A	|	R3-3	|	7.51404	|	30.00000	|	0.56406	|	11.71019	|	0.56406	|	0.56406	|	11
11-A-R3-4	|	A	|	R3-4	|	7.51404	|	60.00000	|	0.56406	|	11.71019	|	0.56406	|	0.56406	|	11
11-A-P1	|	A	|	P1	|	10.73434	|	25.00000	|	0.46417	|	11.71019	|	0.45637	|	0.44758	|	11
11-A-P2	|	A	|	P2	|	10.73434	|	60.00000	|	0.46417	|	11.71019	|	0.45637	|	0.44758	|	11
11-A-P3-1	|	A	|	P3-1	|	10.73434	|	150.00000	|	0.53601	|	11.71019	|	0.52821	|	0.51943	|	11
11-A-P3-2	|	A	|	P3-2	|	10.73434	|	150.00000	|	0.53601	|	11.71019	|	0.52821	|	0.51943	|	11
11-B-R1	|	B	|	R1	|	10.33181	|	4.00000	|	0.73964	|	18.15080	|	0.739636	|	0.739636	|	11
11-B-R2-1	|	B	|	R2-1	|	10.33181	|	5.00000	|	0.73964	|	18.15080	|	0.739636	|	0.739636	|	11
11-B-R2-2	|	B	|	R2-2	|	10.89536	|	6.50000	|	0.80112	|	18.15080	|	0.801123	|	0.801123	|	11
11-B-R2-3	|	B	|	R2-3	|	11.27106	|	8.50000	|	0.92666	|	18.15080	|	0.926661	|	0.926661	|	11
11-B-R3-1	|	B	|	R3-1	|	11.64676	|	15.00000	|	1.19652	|	18.15080	|	1.196522	|	1.196522	|	11
11-B-R3-2	|	B	|	R3-2	|	11.64676	|	20.00000	|	1.24460	|	18.15080	|	1.244601	|	1.244601	|	11
11-B-R3-3	|	B	|	R3-3	|	12.77387	|	30.00000	|	1.61354	|	18.15080	|	1.613544	|	1.613544	|	11
11-B-R3-4	|	B	|	R3-4	|	12.77387	|	60.00000	|	1.79058	|	18.15080	|	1.790577	|	1.790577	|	11
11-B-P1	|	B	|	P1	|	13.56821	|	25.00000	|	0.79964	|	18.15080	|	0.79183	|	0.78305	|	11
